CLAVE_UNICA,NOM_LOC,POBTOT,SCORE_REZAGO,GRADO_REZAGO,LAT_DECIMAL,LON_DECIMAL
200090012,Plan Juan Martínez,348,9.9216396674,Alto,17.760147,-96.079407
200090013,San José Mano Marqués,339,11.0980868605,Alto,17.791236,-96.009576
200100001,El Barrio de la Soledad,2399,12.2352448173,Alto,16.803935,-95.11219
200100002,Almoloya Bajo (Estación Almoloya),864,11.994759731,Alto,16.766543,-95.053609
200100003,Almoloya de Gutiérrez,1092,11.7324019646,Alto,16.751595,-95.074601
200100004,Cuajinicuil,163,10.6776967078,Alto,16.824671,-95.013197
200100005,Guiguba',796,12.5576648764,Alto,16.795864,-95.093222
200100006,Lachigoló,511,11.6500107722,Alto,16.831553,-95.027587
200100007,Chivaniza,158,12.1010025517,Alto,16.806973,-95.023022
200100008,Lagunas,372,12.307319911,Alto,16.804121,-95.071117
200100009,Los Nanches,178,11.9055272723,Alto,16.814419,-95.013513
200100010,Nizaconejo,734,11.7530032931,Alto,16.808212,-95.068136
200100011,Paso San Antonio,47,11.6307798982,Alto,16.809602,-95.018362
200100012,Rincón Vaquero,250,11.8638463076,Alto,16.762664,-95.030764
200100013,Río Grande,255,11.7402933291,Alto,16.794254,-95.016157
200100014,San Nicolás Bichinga,88,11.0493842178,Alto,16.757788,-95.129846
200100015,Las Cruces,116,10.4357911475,Alto,16.845534,-94.952201
200100016,Ocotal Grande,65,6.181531774,Bajo,16.875794,-94.926504
200100018,La Haciendita,81,11.6133113136,Alto,16.765109,-95.105908
200100021,La Ciruela,151,11.8672889679,Alto,16.736393,-95.14644
200100023,Nacedero,108,11.5640407504,Alto,16.760442,-95.037849
200100024,El Ajal,177,12.039203718,Alto,16.772263,-95.019629
200100029,Colonia Hidalgo,245,11.2229721597,Alto,16.835797,-95.023329
200100030,Pozo de Agua,82,11.0110319252,Alto,16.839965,-95.02069
200100032,Campo Nuevo,94,11.7594878582,Alto,16.801212,-95.020294
200100033,Coyulápam,34,9.8758185019,Alto,16.731211,-95.109349
200100035,La Junta,114,11.2245323298,Alto,16.747092,-95.143847
200100036,Llano Barroso,36,8.8240060713,Medio,16.820185,-95.053218
200100037,Niza Limón,27,11.2091892243,Alto,16.730088,-95.125265
200100042,El Sardinero,137,12.0249800936,Alto,16.783112,-95.016939
200100043,Las Palmitas,121,12.182958357,Alto,16.817833,-95.0584
200100045,Loma Larga (Santa Rosa),100,11.3014329794,Alto,16.751798,-95.00566
200100046,El Crucero Lagunas,66,11.2283836847,Alto,16.814445,-95.032692
200100048,Llano Redondo,107,11.4293599137,Alto,16.754541,-95.086407
200100053,El Guapinol,47,10.8189939932,Alto,16.824457,-95.008514
200100054,La Llorona,6,11.0179166423,Alto,16.826001,-95.005911
200100055,Reforma,47,11.3239682719,Alto,16.778871,-95.018443
200100057,Vista Hermosa,36,10.0905518505,Alto,16.789278,-95.018011
200100058,Llano de la Soledad,64,11.1172363833,Alto,16.784204,-95.097473
200100059,Guigubaá Arriba,33,11.949689489,Alto,16.77375,-95.112034
200100061,El Zapote,67,11.8754597067,Alto,16.813241,-95.051192
200100065,Colonia Progreso,2558,12.5508767922,Alto,16.801347,-95.079486
200100066,Palo Colorado,34,10.6589359994,Alto,16.774064,-95.063688
200100067,San Isidro,125,8.7818912133,Medio,16.77165,-95.166263
200100070,Loma Azul [Fraccionamiento],620,12.9144251213,Alto,16.795072,-95.096202
200100071,El Mirador,15,10.6239330064,Alto,16.766548,-95.068226
200100079,El Huapinol [Rancho],10,13.4706108389,Alto,16.800151,-95.106859
200110001,Calihualá,607,10.6021189755,Alto,17.532857,-98.278376
200110002,San Antonio o las Mesas,505,7.7475165853,Medio,17.517875,-98.301135
200110003,San José Sabinillo,107,9.8172396622,Alto,17.560899,-98.240404
200110004,El Calvario,138,10.6280239138,Alto,17.530534,-98.276496
200110005,La Raya,45,8.7842926039,Medio,17.561657,-98.240081
200120001,Candelaria Loxicha,2324,10.1431969692,Alto,15.926334,-96.491919
200120005,La Ciénega,263,7.8145650541,Medio,15.920975,-96.53822
200120007,Cuajinicuil,85,8.0213891234,Medio,15.833481,-96.554629
200120010,La Guadalupe,64,8.7854901534,Medio,15.947793,-96.473841
200120011,Los Horcones,522,8.3932478261,Medio,15.836183,-96.576554
200120013,Miramar,463,7.3734790407,Medio,15.895498,-96.564521
200120014,El Molino,175,6.9378768295,Bajo,15.946337,-96.517521
200120018,San Isidro del Camino,260,8.2490054002,Medio,15.952249,-96.496333
200120023,San Salvador,26,6.5492947859,Bajo,15.948354,-96.535607
200120024,Santa María Tepejipana,444,8.0919688999,Medio,15.910264,-96.528107
200120025,Santiago la Galera,401,9.1924745557,Medio,15.972405,-96.479013
200120026,El Alacrán,392,10.475842713,Alto,15.931636,-96.479085
200120030,El Chilar,418,7.353379308,Medio,15.819729,-96.531039
200120031,La Galerita,78,10.114274605,Alto,15.919207,-96.492758
200120035,Azulillo,177,7.152653665,Bajo,15.88909,-96.499207
200120036,El Carrizal,49,5.963246874,Bajo,15.885096,-96.568376
200120037,El Caulote,352,8.0023628634,Medio,15.808311,-96.560971
200120038,Cerro Sollamiche,33,7.2437477623,Medio,15.836992,-96.52044
200120039,Cerro Perico,124,7.1684123721,Bajo,15.983611,-96.543056
200120040,Corozal Pacífico,53,7.2446043212,Medio,15.883118,-96.524645
200120050,El Coyote [Barrio],66,7.2932654208,Medio,15.815471,-96.57148
200120051,Río Platanar,41,6.8561303462,Bajo,15.911835,-96.55304
200120053,Cerro Cruz,184,7.6113521617,Medio,15.850409,-96.511343
200120054,San Agustín Río Culebra,104,7.2363854019,Medio,15.837359,-96.505144
200120056,Sendero de Luz,7,6.6378322118,Bajo,15.900092,-96.503094
200120057,La Soledad,11,5.9005898258,Bajo,15.983692,-96.524865
200120059,San Lucas,162,9.1163882784,Medio,15.952461,-96.472385
200120062,Tierra Colorada,115,7.7326280228,Medio,15.917443,-96.517594
200120063,Tierra Blanca (Corozal),152,7.0868380492,Bajo,15.891124,-96.537719
200120064,El Trapiche,91,10.6232785801,Alto,15.954613,-96.476152
200120065,El Zacatal,217,7.9918294459,Medio,15.917891,-96.510998
200120074,Llano Frío,27,6.3242821812,Bajo,15.864979,-96.567148
200120076,Arroyo Piedra Azulillo,79,6.8205864726,Bajo,15.882625,-96.507709
200120077,Juquilita,54,5.6415130819,Bajo,15.883116,-96.555388
200120078,Río Candelaria,232,6.1338190412,Bajo,15.89985,-96.507681
200120083,Faustino Ruiz,95,7.6272503909,Medio,15.928616,-96.504039
200120084,El Mangal del Surco,77,8.3303736512,Medio,15.916903,-96.499594
200120086,El Paraje,31,7.382209528,Medio,15.994086,-96.510097
200120088,San Lorenzo,18,10.0743594986,Alto,15.948816,-96.487988
200120092,El Carmen,129,6.4245839794,Bajo,15.962924,-96.52773
200120094,La Finca,108,6.5495457188,Bajo,15.901704,-96.562034
200120101,Pueblo Viejo,23,9.2407548099,Medio,15.980838,-96.502398
200120105,Río los Peces,163,5.2593012797,Bajo,15.870719,-96.539937
200120107,San Mateo,142,8.3514293085,Medio,15.904115,-96.515399
200120109,Tierra Colorada,14,7.0019662957,Bajo,15.986802,-96.501413
200120110,El Zapote,193,7.7504097747,Medio,15.906023,-96.54701
200120111,La Esperanza [Barrio],237,8.7237722201,Medio,15.928701,-96.498339
200120112,San Martín Ondinas,312,9.7785353568,Alto,15.930924,-96.490439
200120114,El Calvario [Barrio],65,9.7779095123,Alto,15.928743,-96.495787
200120115,Nueva Luz,22,6.8864503384,Bajo,15.903328,-96.497378
200120116,La Guadalupe [Barrio],104,8.0302746204,Medio,15.893443,-96.492155
200120117,Barrio Nuevo,381,8.09176063,Medio,15.924713,-96.499217
200120118,Arroyo Piedra Horcones,194,6.8406244648,Bajo,15.853442,-96.576469
200120119,Cerro Bilole,48,7.3657289237,Medio,15.82832,-96.56868
200120120,Río Molino II,22,8.1655463536,Medio,15.936852,-96.509282
200120121,San Pedro [Rancho],7,5.052805802,Bajo,15.932045,-96.520162
200120122,Santa Rita,290,8.0933329082,Medio,15.896111,-96.534748
200120123,Nuevo Valencia [Barrio],159,7.611349517,Medio,15.848996,-96.563985
200130001,Ciénega de Zimatlán,2980,11.6105446939,Alto,16.897088,-96.766618
200130002,Logoto (Guachi-Guachi),29,12.4572741414,Alto,16.901192,-96.770806
200130005,Paraje el Carricillo (Barrio de Arriba),19,10.5588941615,Alto,16.90054,-96.773991
200140001,Ciudad Ixtepec,26015,11.915906164,Alto,16.567698,-95.098712
200140005,El Zapote,27,7.6520614422,Medio,16.655216,-95.040833
200140013,Nizandá,16,11.1115127745,Alto,16.653539,-95.015668
200140014,El Carrizal (Chivaniza),78,10.9737825497,Alto,16.575537,-95.117419
200140017,La Huana Milpería,91,10.9882124982,Alto,16.583436,-95.108936
200140020,La Providencia,12,12.6010564851,Alto,16.566229,-95.135294
200140021,San Jerónimo,11,12.3290325209,Alto,16.565689,-95.13859
200140028,Guigobazaá,5,4.6102457918,Bajo,16.61753,-95.133368
200140032,Colonia Alejandro Cruz Martínez,116,10.8503664638,Alto,16.547994,-95.10462
200140035,Cheguigo Juárez Quinta Sección,30,10.6975680563,Alto,16.578279,-95.095482
200140036,Arturo Santiago Felipe,50,11.3315453209,Alto,16.569406,-95.115163
200140044,Piedra Bola [Rancho],6,10.8894294633,Alto,16.545172,-95.105816
200140045,La Candelaria [Colonia],275,11.3150238042,Alto,16.546163,-95.106677
200140046,Colonia Niza Luba,330,11.9068415057,Alto,16.549101,-95.107902
200140049,Colonia Camargo,64,9.5626510912,Medio,16.547201,-95.127942
200140050,Colonia 5 de Febrero,43,10.7900921351,Alto,16.548015,-95.106562
200140051,Colonia Llano Grande,93,10.1049226694,Alto,16.55061,-95.136006
200140052,Guie Do Baa,30,6.801040579,Bajo,16.596052,-95.026658
200140053,Loma Bonita [Colonia],30,11.9677084955,Alto,16.536406,-95.091212
200140054,Rancho Nuevo,116,10.2101272762,Alto,16.531878,-95.092365
200140055,Campestre Llano Blanco [Colonia],191,11.3683976682,Alto,16.54893,-95.111296
200140056,Juquilita [Colonia],138,9.4462920605,Medio,16.538799,-95.115831
200140057,24 de Marzo [Colonia],10,5.5350217932,Bajo,16.548069,-95.119142
200140059,San Antonio del Monte [Rancho],17,11.1852636694,Alto,16.557072,-95.124603
200140062,Imperio Jeromeño [Colonia],223,8.3919624058,Medio,16.550254,-95.108905
200140063,Piedra Bola [Rancho],24,10.0294318763,Alto,16.542642,-95.104731
200150001,Coatecas Altas,3192,7.5085778722,Medio,16.536759,-96.664981
200150002,Peña Larga,41,10.889820759,Alto,16.514115,-96.581106
200150003,Poblete,375,8.7615930306,Medio,16.520869,-96.596452
200150004,Las Salinas,280,8.5895211147,Medio,16.477484,-96.568012
200150005,Tepehuaje,545,9.253591572,Medio,16.537785,-96.619257
200150007,El Portillo,158,9.0486680235,Medio,16.541413,-96.639181
200150008,Chepeginio,274,9.3933954721,Medio,16.520396,-96.624906
200150013,La Chiveta,18,8.91243004,Medio,16.52224,-96.568353
200150014,Agua de Guaje,51,8.6089961965,Medio,16.500186,-96.594646
