CLAVE_UNICA,NOM_LOC,POBTOT,SCORE_REZAGO,GRADO_REZAGO
200190002,Coápam de Guerrero,233,9.6733480972,Alto
200190003,Peña Blanca,348,10.0972350537,Alto
200190004,San Francisco Pueblo Nuevo,265,8.9235934466,Medio
200190005,San Lorenzo Pápalo,705,8.9244377884,Medio
200190006,Tecomaltianguisco,148,8.6116172684,Medio
200190007,El Aguacate,21,10.3263794073,Alto
200190012,Aserradero Pápalo (Tierra Colorada),119,10.4731514826,Alto
200190013,Natuiño,33,10.1802685875,Alto
200190014,Buena Vista,19,8.9835557249,Medio
200190017,Zaragoza,49,8.8485972925,Medio
200190018,Calvario [Barrio],15,10.2054236783,Alto
200190019,Joya Durazno,7,9.6047500578,Alto
200190020,San Francisco de Asís,125,8.9375172859,Medio
200190021,Las Trancas (Rancho los Mejía),11,10.8978766005,Alto
200200001,Constancia del Rosario,1860,10.7284096223,Alto
200200005,San José Yosocañú (Yosocanú),909,7.884512225,Medio
200200006,Santa Ana Rayón,223,9.1888296267,Medio
200200007,Santa Cruz Río Venado,648,9.1787019848,Medio
200200008,Santa María Pueblo Nuevo,371,10.6863509677,Alto
200200011,Piedra Blanca,13,7.5567518947,Medio
200200012,Rancho Viejo,434,8.5866638948,Medio
200200016,La Cacica,39,10.2489737728,Alto
200200021,Cerro Pluma (Dos Plumas),9,4.4855513431,Bajo
200200022,Barrio Loma Bonita,318,7.4925879841,Medio
200210001,Cosolapa,8325,11.5646889047,Alto
200210002,Almolonga,1347,11.000957973,Alto
200210003,Colonia Agrícola Miguel Hidalgo,105,10.2069643318,Alto
200210004,Monte Obscuro,90,9.2542757012,Medio
200210005,Morelos,361,9.6449605709,Alto
200210007,Palma Sola,568,10.5471502314,Alto
200210008,Rancho Tablas Reyes,677,10.5888898692,Alto
200210010,Estación Refugio,1426,12.135840377,Alto
200210011,El Refugio Viejo,353,10.333653874,Alto
200210012,Canutillo,48,11.9458596587,Alto
200210013,Colonia Agrícola Cachalapa,145,9.0258320891,Medio
200210016,Cerro Alto,105,9.2449115201,Medio
200210022,El Recuerdo,28,3.0065945316,Bajo
200210023,Rincón Cerro Alto,98,8.9417558291,Medio
200210026,Rancho los Limones,53,6.8406244013,Bajo
200210027,La Soledad,14,12.3686671575,Alto
200210029,El Nacimiento,13,9.83942835,Alto
200210031,Rancho Tablas de Reyes Carrizal (San Miguel),276,11.6522091945,Alto
200210046,Benito Juárez,71,7.3636984383,Medio
200210053,Rancho Calihua,17,4.1380818708,Bajo
200210055,Colonia Chema Martínez,66,12.6246577775,Alto
200210058,La Aurora,50,8.92202473,Medio
200210059,Graciano Benítez,24,10.7789342803,Alto
200210060,Serranía Cachalapa,16,3.3793070589,Bajo
200210062,Colonia Comitancillo Libre,194,9.5285747741,Medio
200220001,Cosoltepec,430,11.0713875072,Alto
200220002,Cabrillas,14,4.752657931,Bajo
200220003,Joluxtla,258,10.3841153647,Alto
200220004,Tultitlán de Guadalcázar,91,10.1038015077,Alto
200230001,Cuilápam de Guerrero,15763,11.3747935941,Alto
200230003,Cruz Blanca,997,11.7066440848,Alto
200230009,Carrizal,367,10.6378300527,Alto
200230010,Manzano,625,9.2235923628,Medio
200230013,Tiracoz,461,9.6410887144,Alto
200230014,Ojo de Agua,818,10.5316523668,Alto
200230021,Bulmaro Silva,8,6.737892068,Bajo
200230024,El Sabino,99,10.1723425074,Alto
200230026,El Rosario [Barrio],140,10.3845045393,Alto
200230027,Guadalupe 3a. Sección [Barrio],787,10.1933675297,Alto
200230028,El Tepeyac (Lomas de San Juan),586,10.2214173074,Alto
200230029,Rancho Palo de Lumbre,192,9.9949898699,Alto
200230030,Rancho Quemado,251,10.1771789648,Alto
200230031,Libramiento a Jalpan,107,10.6167210838,Alto
200230032,El Zompantle [Parajes Unidos],60,12.2513645709,Alto
200230033,Primera Ampliación de Cruz Blanca,551,10.1502218682,Alto
200230034,Lomas de San Juan,1294,10.3885727439,Alto
200230035,Acapiztla,55,7.9985464195,Medio
200230036,Estrella Blanca,334,10.2782740638,Alto
200230037,Primera Sección Barrio San Antonio,32,11.3934524198,Alto
200230038,Paraje Zavaleta,388,9.9118176291,Alto
200230039,La Cieneguita [Colonia],753,10.2169585196,Alto
200230040,Los Ríos [Colonia],612,11.0620878297,Alto
200230041,Los Huertos [Colonia],843,9.705422303,Alto
200230042,Lomas de Rancho Quemado,295,8.5466330706,Medio
200230043,La Yigüi,79,4.9469042254,Bajo
200230044,Rancho Areche [Paraje],142,6.3500604495,Bajo
200230045,El Alacrán,20,7.9716136238,Medio
200230046,El Alacrán Dos,15,5.0185656883,Bajo
200230047,Los Mangales,23,5.7313069799,Bajo
200230048,Tabla del Carrizal [Paraje],99,8.9504404708,Medio
200230049,El Pajarito [Paraje],17,5.3718285815,Bajo
200230051,Parajes Unidos (Barrio San Lucas),59,7.4751252453,Medio
200240001,Cuyamecalco Villa de Zaragoza,918,9.5775344413,Medio
200240002,Buenos Aires,825,9.4362450652,Medio
200240003,Joya Durazno,195,6.9580797758,Bajo
200240004,Santa María Buenos Aires,221,9.0308932212,Medio
200240006,Agua Tabaco,143,7.3214004378,Medio
200240007,Cerro Culebra,26,4.8966176615,Bajo
200240008,Chorro de Agua,24,6.6073324409,Bajo
200240009,San Felipe de Jesús,38,6.8070612044,Bajo
200240010,Guadalupe la Ciénega,250,8.3012701589,Medio
200240012,El Zacatal,29,7.0315032659,Bajo
200240013,Loma Platanar,42,9.2244267853,Medio
200240016,Aguacate,35,7.909550761,Medio
200240019,Bajo la Peña,30,7.3250099785,Medio
200240020,Cerro Verde,48,5.8252340075,Bajo
200240021,Piedra Boluda,12,7.196043458,Medio
200240023,San Francisco la Raya,104,9.3971082073,Medio
200240026,Loma del Viento,108,8.1918306358,Medio
200240027,Tierra Ahumada,69,7.1808136396,Bajo
200240031,Río San Miguel (Llano Nopal),57,6.1824450126,Bajo
200240032,Colonia Reforma (Barrio Reforma),161,8.5905150007,Medio
200240035,La Orilla,180,10.6754636848,Alto
200240036,Camino a San Miguel,49,8.0799160937,Medio
200240038,Cerro Alto,12,7.7590651918,Medio
200240039,Loma la Tranca,11,7.3936027415,Medio
200240041,Agua Conejo,42,8.6169951377,Medio
200250001,Chahuites,11054,11.0161537103,Alto
200250002,Los Conejos,177,11.2123868086,Alto
200250006,El Porvenir,116,8.3934607057,Medio
200260001,Chalcatongo de Hidalgo,2737,11.3144229426,Alto
200260002,Abasolo,321,9.2888138386,Medio
200260003,Aldama,563,9.7631876089,Alto
200260004,Allende,165,8.6293154243,Medio
200260005,Chapultepec,636,8.7555712547,Medio
200260006,Guerrero,152,8.3483635292,Medio
200260007,Hidalgo,155,8.8592557127,Medio
200260008,Independencia,356,9.7344952744,Alto
200260009,Iturbide,143,8.2395956912,Medio
200260010,Juárez,73,7.6502260299,Medio
200260011,Cañada de Morelos,299,9.5196337075,Medio
200260012,La Paz,80,6.4129425935,Bajo
200260013,Progreso,1239,9.8137811353,Alto
200260014,La Providencia,49,8.0842419465,Medio
200260015,Reforma,306,7.4053920903,Medio
200260016,Santa Catarina Yuxía,146,8.3679622889,Medio
